Training using device: cuda
Creating test environment 'simple_adversary_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [8, 10, 10]
Action bounds for each agent:
  ['adversary_0', 'agent_0', 'agent_1']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_adversary_v3
Padded action sizes: [5, 5, 5]
Padded observation sizes: [10, 10, 10]
Environment: simple_adversary_v3
Number of agents: 3
Agent names: ['adversary_0', 'agent_0', 'agent_1']
Creating single 'simple_adversary_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_adversary_v3/baseline_adv_40k
Start Training: simple_adversary_v3 | Mode: MLP | Agents: 3
Ep 50 | Avg Score: -77.52 | Noise: 1.00 | Time: 34s
Ep 100 | Avg Score: -60.17 | Noise: 1.00 | Time: 83s
Ep 150 | Avg Score: -49.20 | Noise: 0.99 | Time: 132s
Ep 200 | Avg Score: -51.76 | Noise: 0.99 | Time: 182s
Ep 250 | Avg Score: -40.54 | Noise: 0.99 | Time: 232s
Ep 300 | Avg Score: -43.07 | Noise: 0.99 | Time: 284s
Ep 350 | Avg Score: -48.47 | Noise: 0.99 | Time: 335s
Ep 400 | Avg Score: -41.50 | Noise: 0.99 | Time: 386s
Ep 450 | Avg Score: -34.38 | Noise: 0.98 | Time: 437s
Ep 500 | Avg Score: -26.27 | Noise: 0.98 | Time: 488s
Ep 550 | Avg Score: -16.37 | Noise: 0.98 | Time: 538s
Ep 600 | Avg Score: -16.12 | Noise: 0.98 | Time: 589s
Ep 650 | Avg Score: -20.45 | Noise: 0.98 | Time: 639s
Ep 700 | Avg Score: -25.19 | Noise: 0.98 | Time: 690s
Ep 750 | Avg Score: -32.55 | Noise: 0.97 | Time: 741s
Ep 800 | Avg Score: -37.65 | Noise: 0.97 | Time: 792s
Ep 850 | Avg Score: -33.52 | Noise: 0.97 | Time: 842s
Ep 900 | Avg Score: -33.42 | Noise: 0.97 | Time: 893s
Ep 950 | Avg Score: -35.81 | Noise: 0.97 | Time: 944s
Ep 1000 | Avg Score: -26.45 | Noise: 0.97 | Time: 995s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 1050 | Avg Score: -26.34 | Noise: 0.96 | Time: 1046s
Ep 1100 | Avg Score: -21.88 | Noise: 0.96 | Time: 1097s
Ep 1150 | Avg Score: -21.71 | Noise: 0.96 | Time: 1149s
Ep 1200 | Avg Score: -28.88 | Noise: 0.96 | Time: 1199s
Ep 1250 | Avg Score: -32.34 | Noise: 0.96 | Time: 1251s
Ep 1300 | Avg Score: -42.44 | Noise: 0.96 | Time: 1303s
Ep 1350 | Avg Score: -35.90 | Noise: 0.95 | Time: 1355s
Ep 1400 | Avg Score: -28.76 | Noise: 0.95 | Time: 1407s
Ep 1450 | Avg Score: -35.14 | Noise: 0.95 | Time: 1459s
Ep 1500 | Avg Score: -38.08 | Noise: 0.95 | Time: 1511s
Ep 1550 | Avg Score: -34.04 | Noise: 0.95 | Time: 1563s
Ep 1600 | Avg Score: -32.14 | Noise: 0.95 | Time: 1614s
Ep 1650 | Avg Score: -35.04 | Noise: 0.94 | Time: 1666s
Ep 1700 | Avg Score: -42.01 | Noise: 0.94 | Time: 1717s
Ep 1750 | Avg Score: -39.37 | Noise: 0.94 | Time: 1767s
Ep 1800 | Avg Score: -40.15 | Noise: 0.94 | Time: 1819s
Ep 1850 | Avg Score: -41.52 | Noise: 0.94 | Time: 1871s
Ep 1900 | Avg Score: -29.33 | Noise: 0.94 | Time: 1924s
Ep 1950 | Avg Score: -34.87 | Noise: 0.94 | Time: 1977s
Ep 2000 | Avg Score: -36.96 | Noise: 0.93 | Time: 2029s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 2050 | Avg Score: -30.92 | Noise: 0.93 | Time: 2081s
Ep 2100 | Avg Score: -28.06 | Noise: 0.93 | Time: 2133s
Ep 2150 | Avg Score: -34.04 | Noise: 0.93 | Time: 2185s
Ep 2200 | Avg Score: -33.41 | Noise: 0.93 | Time: 2237s
Ep 2250 | Avg Score: -30.63 | Noise: 0.93 | Time: 2290s
Ep 2300 | Avg Score: -34.41 | Noise: 0.92 | Time: 2342s
Ep 2350 | Avg Score: -27.93 | Noise: 0.92 | Time: 2394s
Ep 2400 | Avg Score: -29.00 | Noise: 0.92 | Time: 2446s
Ep 2450 | Avg Score: -30.98 | Noise: 0.92 | Time: 2497s
Ep 2500 | Avg Score: -24.35 | Noise: 0.92 | Time: 2549s
Ep 2550 | Avg Score: -29.26 | Noise: 0.92 | Time: 2602s
Ep 2600 | Avg Score: -35.18 | Noise: 0.91 | Time: 2654s
Ep 2650 | Avg Score: -30.69 | Noise: 0.91 | Time: 2706s
Ep 2700 | Avg Score: -23.68 | Noise: 0.91 | Time: 2758s
Ep 2750 | Avg Score: -22.68 | Noise: 0.91 | Time: 2811s
Ep 2800 | Avg Score: -26.00 | Noise: 0.91 | Time: 2862s
Ep 2850 | Avg Score: -24.12 | Noise: 0.91 | Time: 2914s
Ep 2900 | Avg Score: -24.00 | Noise: 0.90 | Time: 2967s
Ep 2950 | Avg Score: -25.25 | Noise: 0.90 | Time: 3019s
Ep 3000 | Avg Score: -23.32 | Noise: 0.90 | Time: 3071s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 3050 | Avg Score: -23.73 | Noise: 0.90 | Time: 3124s
Ep 3100 | Avg Score: -21.84 | Noise: 0.90 | Time: 3176s
Ep 3150 | Avg Score: -17.81 | Noise: 0.90 | Time: 3228s
Ep 3200 | Avg Score: -15.24 | Noise: 0.89 | Time: 3280s
Ep 3250 | Avg Score: -17.46 | Noise: 0.89 | Time: 3332s
Ep 3300 | Avg Score: -27.66 | Noise: 0.89 | Time: 3385s
Ep 3350 | Avg Score: -34.12 | Noise: 0.89 | Time: 3437s
Ep 3400 | Avg Score: -28.26 | Noise: 0.89 | Time: 3489s
Ep 3450 | Avg Score: -22.27 | Noise: 0.89 | Time: 3542s
Ep 3500 | Avg Score: -19.43 | Noise: 0.88 | Time: 3593s
Ep 3550 | Avg Score: -13.21 | Noise: 0.88 | Time: 3645s
Ep 3600 | Avg Score: -11.69 | Noise: 0.88 | Time: 3697s
Ep 3650 | Avg Score: -5.24 | Noise: 0.88 | Time: 3749s
Ep 3700 | Avg Score: -4.76 | Noise: 0.88 | Time: 3801s
Ep 3750 | Avg Score: -8.51 | Noise: 0.88 | Time: 3853s
Ep 3800 | Avg Score: -10.60 | Noise: 0.87 | Time: 3906s
Ep 3850 | Avg Score: -25.11 | Noise: 0.87 | Time: 3958s
Ep 3900 | Avg Score: -30.89 | Noise: 0.87 | Time: 4010s
Ep 3950 | Avg Score: -27.51 | Noise: 0.87 | Time: 4062s
Ep 4000 | Avg Score: -26.76 | Noise: 0.87 | Time: 4114s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 4050 | Avg Score: -27.67 | Noise: 0.86 | Time: 4167s
Ep 4100 | Avg Score: -30.10 | Noise: 0.86 | Time: 4219s
Ep 4150 | Avg Score: -34.59 | Noise: 0.86 | Time: 4271s
Ep 4200 | Avg Score: -31.14 | Noise: 0.86 | Time: 4323s
Ep 4250 | Avg Score: -27.36 | Noise: 0.86 | Time: 4376s
Ep 4300 | Avg Score: -35.25 | Noise: 0.86 | Time: 4427s
Ep 4350 | Avg Score: -35.07 | Noise: 0.85 | Time: 4479s
Ep 4400 | Avg Score: -33.06 | Noise: 0.85 | Time: 4531s
Ep 4450 | Avg Score: -29.80 | Noise: 0.85 | Time: 4584s
Ep 4500 | Avg Score: -18.26 | Noise: 0.85 | Time: 4637s
Ep 4550 | Avg Score: -9.14 | Noise: 0.85 | Time: 4689s
Ep 4600 | Avg Score: -6.73 | Noise: 0.85 | Time: 4742s
Ep 4650 | Avg Score: -10.95 | Noise: 0.84 | Time: 4794s
Ep 4700 | Avg Score: -14.06 | Noise: 0.84 | Time: 4847s
Ep 4750 | Avg Score: -13.45 | Noise: 0.84 | Time: 4899s
Ep 4800 | Avg Score: -13.88 | Noise: 0.84 | Time: 4951s
Ep 4850 | Avg Score: -15.30 | Noise: 0.84 | Time: 5003s
Ep 4900 | Avg Score: -15.57 | Noise: 0.84 | Time: 5055s
Ep 4950 | Avg Score: -17.92 | Noise: 0.83 | Time: 5107s
Ep 5000 | Avg Score: -19.09 | Noise: 0.83 | Time: 5159s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 5050 | Avg Score: -16.75 | Noise: 0.83 | Time: 5211s
Ep 5100 | Avg Score: -15.53 | Noise: 0.83 | Time: 5263s
Ep 5150 | Avg Score: -14.98 | Noise: 0.83 | Time: 5315s
Ep 5200 | Avg Score: -13.52 | Noise: 0.83 | Time: 5367s
Ep 5250 | Avg Score: -12.22 | Noise: 0.82 | Time: 5419s
Ep 5300 | Avg Score: -14.35 | Noise: 0.82 | Time: 5471s
