Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/baseline_spread_40k
Start Training: simple_spread_v3 | Mode: MLP | Agents: 3
Ep 50 | Avg Score: -262.15 | Noise: 1.00 | Time: 36s
Ep 100 | Avg Score: -249.36 | Noise: 1.00 | Time: 89s
Ep 150 | Avg Score: -230.16 | Noise: 0.99 | Time: 142s
Ep 200 | Avg Score: -226.59 | Noise: 0.99 | Time: 195s
Ep 250 | Avg Score: -219.20 | Noise: 0.99 | Time: 246s
Ep 300 | Avg Score: -216.39 | Noise: 0.99 | Time: 298s
Ep 350 | Avg Score: -213.20 | Noise: 0.99 | Time: 349s
Ep 400 | Avg Score: -211.69 | Noise: 0.99 | Time: 402s
Ep 450 | Avg Score: -222.19 | Noise: 0.98 | Time: 454s
Ep 500 | Avg Score: -227.03 | Noise: 0.98 | Time: 506s
Ep 550 | Avg Score: -220.30 | Noise: 0.98 | Time: 559s
Ep 600 | Avg Score: -217.85 | Noise: 0.98 | Time: 612s
Ep 650 | Avg Score: -212.18 | Noise: 0.98 | Time: 664s
Ep 700 | Avg Score: -198.95 | Noise: 0.98 | Time: 717s
Ep 750 | Avg Score: -199.85 | Noise: 0.97 | Time: 770s
Ep 800 | Avg Score: -209.08 | Noise: 0.97 | Time: 822s
Ep 850 | Avg Score: -211.56 | Noise: 0.97 | Time: 874s
Ep 900 | Avg Score: -208.71 | Noise: 0.97 | Time: 927s
Ep 950 | Avg Score: -213.61 | Noise: 0.97 | Time: 979s
Ep 1000 | Avg Score: -209.88 | Noise: 0.97 | Time: 1032s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 1050 | Avg Score: -199.82 | Noise: 0.96 | Time: 1085s
Ep 1100 | Avg Score: -197.17 | Noise: 0.96 | Time: 1137s
Ep 1150 | Avg Score: -191.67 | Noise: 0.96 | Time: 1190s
Ep 1200 | Avg Score: -182.73 | Noise: 0.96 | Time: 1243s
Ep 1250 | Avg Score: -185.85 | Noise: 0.96 | Time: 1295s
Ep 1300 | Avg Score: -183.39 | Noise: 0.96 | Time: 1348s
Ep 1350 | Avg Score: -180.37 | Noise: 0.95 | Time: 1400s
Ep 1400 | Avg Score: -193.49 | Noise: 0.95 | Time: 1453s
Ep 1450 | Avg Score: -195.41 | Noise: 0.95 | Time: 1505s
Ep 1500 | Avg Score: -176.29 | Noise: 0.95 | Time: 1559s
Ep 1550 | Avg Score: -168.12 | Noise: 0.95 | Time: 1611s
Ep 1600 | Avg Score: -177.82 | Noise: 0.95 | Time: 1664s
Ep 1650 | Avg Score: -179.02 | Noise: 0.94 | Time: 1716s
Ep 1700 | Avg Score: -179.21 | Noise: 0.94 | Time: 1769s
Ep 1750 | Avg Score: -178.04 | Noise: 0.94 | Time: 1820s
Ep 1800 | Avg Score: -180.63 | Noise: 0.94 | Time: 1872s
Ep 1850 | Avg Score: -185.50 | Noise: 0.94 | Time: 1925s
Ep 1900 | Avg Score: -185.56 | Noise: 0.94 | Time: 1978s
Ep 1950 | Avg Score: -199.91 | Noise: 0.94 | Time: 2030s
Ep 2000 | Avg Score: -202.06 | Noise: 0.93 | Time: 2083s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 2050 | Avg Score: -209.82 | Noise: 0.93 | Time: 2136s
Ep 2100 | Avg Score: -212.13 | Noise: 0.93 | Time: 2189s
Ep 2150 | Avg Score: -195.51 | Noise: 0.93 | Time: 2241s
Ep 2200 | Avg Score: -197.67 | Noise: 0.93 | Time: 2294s
Ep 2250 | Avg Score: -203.54 | Noise: 0.93 | Time: 2347s
Ep 2300 | Avg Score: -197.05 | Noise: 0.92 | Time: 2400s
Ep 2350 | Avg Score: -196.21 | Noise: 0.92 | Time: 2453s
Ep 2400 | Avg Score: -206.00 | Noise: 0.92 | Time: 2507s
Ep 2450 | Avg Score: -203.53 | Noise: 0.92 | Time: 2561s
Ep 2500 | Avg Score: -199.94 | Noise: 0.92 | Time: 2614s
Ep 2550 | Avg Score: -206.87 | Noise: 0.92 | Time: 2667s
Ep 2600 | Avg Score: -216.83 | Noise: 0.91 | Time: 2720s
Ep 2650 | Avg Score: -225.52 | Noise: 0.91 | Time: 2774s
Ep 2700 | Avg Score: -223.04 | Noise: 0.91 | Time: 2826s
Ep 2750 | Avg Score: -221.35 | Noise: 0.91 | Time: 2879s
Ep 2800 | Avg Score: -216.71 | Noise: 0.91 | Time: 2932s
Ep 2850 | Avg Score: -210.20 | Noise: 0.91 | Time: 2984s
Ep 2900 | Avg Score: -200.63 | Noise: 0.90 | Time: 3037s
Ep 2950 | Avg Score: -194.46 | Noise: 0.90 | Time: 3091s
Ep 3000 | Avg Score: -198.62 | Noise: 0.90 | Time: 3144s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 3050 | Avg Score: -195.55 | Noise: 0.90 | Time: 3197s
Ep 3100 | Avg Score: -201.14 | Noise: 0.90 | Time: 3250s
Ep 3150 | Avg Score: -215.07 | Noise: 0.90 | Time: 3303s
Ep 3200 | Avg Score: -232.67 | Noise: 0.89 | Time: 3356s
Ep 3250 | Avg Score: -227.06 | Noise: 0.89 | Time: 3409s
Ep 3300 | Avg Score: -220.44 | Noise: 0.89 | Time: 3462s
Ep 3350 | Avg Score: -244.15 | Noise: 0.89 | Time: 3515s
Ep 3400 | Avg Score: -242.35 | Noise: 0.89 | Time: 3567s
Ep 3450 | Avg Score: -227.82 | Noise: 0.89 | Time: 3620s
Ep 3500 | Avg Score: -230.58 | Noise: 0.88 | Time: 3672s
Ep 3550 | Avg Score: -221.52 | Noise: 0.88 | Time: 3725s
Ep 3600 | Avg Score: -209.76 | Noise: 0.88 | Time: 3777s
Ep 3650 | Avg Score: -222.04 | Noise: 0.88 | Time: 3830s
Ep 3700 | Avg Score: -227.76 | Noise: 0.88 | Time: 3883s
Ep 3750 | Avg Score: -216.19 | Noise: 0.88 | Time: 3936s
Ep 3800 | Avg Score: -211.01 | Noise: 0.87 | Time: 3990s
Ep 3850 | Avg Score: -205.33 | Noise: 0.87 | Time: 4043s
Ep 3900 | Avg Score: -196.55 | Noise: 0.87 | Time: 4096s
Ep 3950 | Avg Score: -195.45 | Noise: 0.87 | Time: 4150s
Ep 4000 | Avg Score: -194.31 | Noise: 0.87 | Time: 4204s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 4050 | Avg Score: -201.37 | Noise: 0.86 | Time: 4258s
Ep 4100 | Avg Score: -214.06 | Noise: 0.86 | Time: 4306s
Ep 4150 | Avg Score: -203.08 | Noise: 0.86 | Time: 4360s
Ep 4200 | Avg Score: -200.89 | Noise: 0.86 | Time: 4413s
Ep 4250 | Avg Score: -201.60 | Noise: 0.86 | Time: 4467s
Ep 4300 | Avg Score: -210.15 | Noise: 0.86 | Time: 4520s
Ep 4350 | Avg Score: -208.25 | Noise: 0.85 | Time: 4574s
Ep 4400 | Avg Score: -178.92 | Noise: 0.85 | Time: 4627s
Ep 4450 | Avg Score: -181.77 | Noise: 0.85 | Time: 4680s
Ep 4500 | Avg Score: -196.72 | Noise: 0.85 | Time: 4733s
Ep 4550 | Avg Score: -191.20 | Noise: 0.85 | Time: 4786s
Ep 4600 | Avg Score: -182.82 | Noise: 0.85 | Time: 4838s
Ep 4650 | Avg Score: -183.64 | Noise: 0.84 | Time: 4892s
Ep 4700 | Avg Score: -187.35 | Noise: 0.84 | Time: 4945s
Ep 4750 | Avg Score: -192.79 | Noise: 0.84 | Time: 4998s
Ep 4800 | Avg Score: -204.33 | Noise: 0.84 | Time: 5051s
Ep 4850 | Avg Score: -203.57 | Noise: 0.84 | Time: 5104s
Ep 4900 | Avg Score: -199.10 | Noise: 0.84 | Time: 5157s
Ep 4950 | Avg Score: -196.03 | Noise: 0.83 | Time: 5209s
