Training using device: cuda
Creating test environment 'simple_adversary_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [8, 10, 10]
Action bounds for each agent:
  ['adversary_0', 'agent_0', 'agent_1']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_adversary_v3
Padded action sizes: [5, 5, 5]
Padded observation sizes: [10, 10, 10]
Environment: simple_adversary_v3
Number of agents: 3
Agent names: ['adversary_0', 'agent_0', 'agent_1']
Creating single 'simple_adversary_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_adversary_v3/dag_adv_40k
Start Training: simple_adversary_v3 | Mode: DAG | Agents: 3
Ep 50 | Avg Score: -50.71 | Noise: 1.00 | Time: 50s
Ep 100 | Avg Score: -43.92 | Noise: 1.00 | Time: 125s
Ep 150 | Avg Score: -46.73 | Noise: 0.99 | Time: 200s
Ep 200 | Avg Score: -50.87 | Noise: 0.99 | Time: 277s
Ep 250 | Avg Score: -49.63 | Noise: 0.99 | Time: 353s
Ep 300 | Avg Score: -53.25 | Noise: 0.99 | Time: 430s
Ep 350 | Avg Score: -52.44 | Noise: 0.99 | Time: 506s
Ep 400 | Avg Score: -52.21 | Noise: 0.99 | Time: 583s
Ep 450 | Avg Score: -46.54 | Noise: 0.98 | Time: 660s
Ep 500 | Avg Score: -41.00 | Noise: 0.98 | Time: 737s
Ep 550 | Avg Score: -39.70 | Noise: 0.98 | Time: 814s
Ep 600 | Avg Score: -48.17 | Noise: 0.98 | Time: 891s
Ep 650 | Avg Score: -45.11 | Noise: 0.98 | Time: 969s
Ep 700 | Avg Score: -37.11 | Noise: 0.98 | Time: 1046s
Ep 750 | Avg Score: -35.26 | Noise: 0.97 | Time: 1123s
Ep 800 | Avg Score: -32.97 | Noise: 0.97 | Time: 1201s
Ep 850 | Avg Score: -35.95 | Noise: 0.97 | Time: 1278s
Ep 900 | Avg Score: -32.12 | Noise: 0.97 | Time: 1356s
Ep 950 | Avg Score: -27.58 | Noise: 0.97 | Time: 1434s
Ep 1000 | Avg Score: -33.69 | Noise: 0.97 | Time: 1511s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 1050 | Avg Score: -39.17 | Noise: 0.96 | Time: 1588s
Ep 1100 | Avg Score: -37.59 | Noise: 0.96 | Time: 1667s
Ep 1150 | Avg Score: -41.63 | Noise: 0.96 | Time: 1746s
Ep 1200 | Avg Score: -36.04 | Noise: 0.96 | Time: 1825s
Ep 1250 | Avg Score: -29.55 | Noise: 0.96 | Time: 1904s
Ep 1300 | Avg Score: -28.68 | Noise: 0.96 | Time: 1982s
Ep 1350 | Avg Score: -19.84 | Noise: 0.95 | Time: 2060s
Ep 1400 | Avg Score: -18.56 | Noise: 0.95 | Time: 2137s
Ep 1450 | Avg Score: -24.71 | Noise: 0.95 | Time: 2215s
