Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/dag_spread_40k
Start Training: simple_spread_v3 | Mode: DAG | Agents: 3
Ep 50 | Avg Score: -247.88 | Noise: 1.00 | Time: 53s
Ep 100 | Avg Score: -235.46 | Noise: 1.00 | Time: 127s
Ep 150 | Avg Score: -211.79 | Noise: 0.99 | Time: 203s
Ep 200 | Avg Score: -207.44 | Noise: 0.99 | Time: 279s
Ep 250 | Avg Score: -204.08 | Noise: 0.99 | Time: 355s
Ep 300 | Avg Score: -206.30 | Noise: 0.99 | Time: 431s
Ep 350 | Avg Score: -227.22 | Noise: 0.99 | Time: 507s
Ep 400 | Avg Score: -229.97 | Noise: 0.99 | Time: 584s
Ep 450 | Avg Score: -232.83 | Noise: 0.98 | Time: 661s
Ep 500 | Avg Score: -242.81 | Noise: 0.98 | Time: 737s
Ep 550 | Avg Score: -241.42 | Noise: 0.98 | Time: 814s
Ep 600 | Avg Score: -223.65 | Noise: 0.98 | Time: 891s
Ep 650 | Avg Score: -205.74 | Noise: 0.98 | Time: 969s
Ep 700 | Avg Score: -204.82 | Noise: 0.98 | Time: 1047s
Ep 750 | Avg Score: -204.13 | Noise: 0.97 | Time: 1125s
Ep 800 | Avg Score: -196.15 | Noise: 0.97 | Time: 1202s
Ep 850 | Avg Score: -190.02 | Noise: 0.97 | Time: 1280s
Ep 900 | Avg Score: -195.11 | Noise: 0.97 | Time: 1357s
Ep 950 | Avg Score: -213.17 | Noise: 0.97 | Time: 1435s
Ep 1000 | Avg Score: -209.43 | Noise: 0.97 | Time: 1512s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 1050 | Avg Score: -191.82 | Noise: 0.96 | Time: 1589s
Ep 1100 | Avg Score: -189.78 | Noise: 0.96 | Time: 1665s
Ep 1150 | Avg Score: -196.62 | Noise: 0.96 | Time: 1743s
Ep 1200 | Avg Score: -207.20 | Noise: 0.96 | Time: 1820s
Ep 1250 | Avg Score: -209.58 | Noise: 0.96 | Time: 1898s
Ep 1300 | Avg Score: -204.44 | Noise: 0.96 | Time: 1975s
Ep 1350 | Avg Score: -204.21 | Noise: 0.95 | Time: 2052s
Ep 1400 | Avg Score: -196.13 | Noise: 0.95 | Time: 2129s
Ep 1450 | Avg Score: -187.63 | Noise: 0.95 | Time: 2206s
Ep 1500 | Avg Score: -200.69 | Noise: 0.95 | Time: 2284s
Ep 1550 | Avg Score: -205.06 | Noise: 0.95 | Time: 2362s
Ep 1600 | Avg Score: -218.07 | Noise: 0.95 | Time: 2438s
Ep 1650 | Avg Score: -214.76 | Noise: 0.94 | Time: 2516s
Ep 1700 | Avg Score: -199.58 | Noise: 0.94 | Time: 2593s
Ep 1750 | Avg Score: -210.24 | Noise: 0.94 | Time: 2671s
Ep 1800 | Avg Score: -202.74 | Noise: 0.94 | Time: 2748s
Ep 1850 | Avg Score: -198.45 | Noise: 0.94 | Time: 2826s
Ep 1900 | Avg Score: -204.94 | Noise: 0.94 | Time: 2904s
