error: XDG_RUNTIME_DIR not set in the environment.
error: XDG_RUNTIME_DIR not set in the environment.
Training using device: cuda
Creating test environment 'simple_tag_v3' to get agent information...
Original action sizes: [5, 5, 5, 5]
Original observation sizes: [16, 16, 16, 14]
Action bounds for each agent:
  ['adversary_0', 'adversary_1', 'adversary_2', 'agent_0']: [[0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_tag_v3
Padded action sizes: [5, 5, 5, 5]
Padded observation sizes: [16, 16, 16, 16]
Environment: simple_tag_v3
Number of agents: 4
Agent names: ['adversary_0', 'adversary_1', 'adversary_2', 'agent_0']
Creating single 'simple_tag_v3' environment...
Agent Groups: [0, 0, 0, 1]
📁 Training data will be saved to: ./runs/simple_tag_v3/dag_tag_60k
Start Training: simple_tag_v3 | Mode: DAG | Agents: 4
Ep 50 | Avg Score: -243.42 | Noise: 1.00 | Time: 82s
Ep 100 | Avg Score: -146.73 | Noise: 1.00 | Time: 203s
Ep 150 | Avg Score: -24.50 | Noise: 0.99 | Time: 327s
Ep 200 | Avg Score: 2.08 | Noise: 0.99 | Time: 451s
Ep 250 | Avg Score: 14.38 | Noise: 0.99 | Time: 575s
Ep 300 | Avg Score: 14.87 | Noise: 0.99 | Time: 790s
Ep 350 | Avg Score: 6.46 | Noise: 0.99 | Time: 970s
Ep 400 | Avg Score: 3.85 | Noise: 0.99 | Time: 1099s
Ep 450 | Avg Score: 2.12 | Noise: 0.98 | Time: 1226s
Ep 500 | Avg Score: 11.58 | Noise: 0.98 | Time: 1355s
Ep 550 | Avg Score: 17.62 | Noise: 0.98 | Time: 1484s
Ep 600 | Avg Score: 16.96 | Noise: 0.98 | Time: 1613s
Ep 650 | Avg Score: 22.25 | Noise: 0.98 | Time: 1741s
Ep 700 | Avg Score: 34.50 | Noise: 0.98 | Time: 1865s
Ep 750 | Avg Score: 36.27 | Noise: 0.97 | Time: 1990s
Ep 800 | Avg Score: 33.17 | Noise: 0.97 | Time: 2114s
Ep 850 | Avg Score: 31.68 | Noise: 0.97 | Time: 2238s
Ep 900 | Avg Score: 24.48 | Noise: 0.97 | Time: 2362s
Ep 950 | Avg Score: 25.32 | Noise: 0.97 | Time: 2486s
Ep 1000 | Avg Score: 27.67 | Noise: 0.97 | Time: 2610s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 1050 | Avg Score: 29.47 | Noise: 0.96 | Time: 2733s
Ep 1100 | Avg Score: 28.34 | Noise: 0.96 | Time: 2857s
Ep 1150 | Avg Score: 18.55 | Noise: 0.96 | Time: 2982s
Ep 1200 | Avg Score: 17.86 | Noise: 0.96 | Time: 3107s
Ep 1250 | Avg Score: 19.96 | Noise: 0.96 | Time: 3232s
Ep 1300 | Avg Score: 14.55 | Noise: 0.96 | Time: 3358s
Ep 1350 | Avg Score: 17.29 | Noise: 0.95 | Time: 3483s
Ep 1400 | Avg Score: 16.00 | Noise: 0.95 | Time: 3609s
Ep 1450 | Avg Score: 15.51 | Noise: 0.95 | Time: 3736s
Ep 1500 | Avg Score: 18.37 | Noise: 0.95 | Time: 3864s
Ep 1550 | Avg Score: 13.58 | Noise: 0.95 | Time: 3991s
Ep 1600 | Avg Score: 14.46 | Noise: 0.95 | Time: 4118s
Ep 1650 | Avg Score: 14.50 | Noise: 0.94 | Time: 4244s
Ep 1700 | Avg Score: 14.17 | Noise: 0.94 | Time: 4370s
Ep 1750 | Avg Score: 15.83 | Noise: 0.94 | Time: 4497s
Ep 1800 | Avg Score: 12.46 | Noise: 0.94 | Time: 4627s
Ep 1850 | Avg Score: 9.69 | Noise: 0.94 | Time: 4754s
Ep 1900 | Avg Score: 14.12 | Noise: 0.94 | Time: 4882s
Ep 1950 | Avg Score: 15.41 | Noise: 0.94 | Time: 5010s
Ep 2000 | Avg Score: 12.65 | Noise: 0.93 | Time: 5137s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 2050 | Avg Score: 8.95 | Noise: 0.93 | Time: 5264s
Ep 2100 | Avg Score: 13.29 | Noise: 0.93 | Time: 5391s
Ep 2150 | Avg Score: 12.29 | Noise: 0.93 | Time: 5517s
Ep 2200 | Avg Score: 5.10 | Noise: 0.93 | Time: 5644s
Ep 2250 | Avg Score: 7.37 | Noise: 0.93 | Time: 5771s
Ep 2300 | Avg Score: 5.16 | Noise: 0.92 | Time: 5898s
Ep 2350 | Avg Score: 7.93 | Noise: 0.92 | Time: 6026s
